PerformanceDate,E-EM,E-GSC,E-CLC,E-US,E-CSC,E-IE,D-CB,A-CMM
2024-02-06,0.007985467,0.009652061,0.005186321,0.003366317,0.005259601,0.006155059,0.005387144,0.000135630
2024-02-07,-0.002907697,-0.005307834,-0.001704300,0.001608567,0.003033173,-0.004295261,-0.002539372,0.000135580
2024-02-08,-0.006914417,-0.007612148,0.002385874,-0.000229157,0.001492593,0.000977986,-0.005305344,0.000135650
2024-02-09,-0.001581539,0.003242611,0.006465859,0.004468195,0.007347261,0.006084157,0.001581062,0.000135690
2024-02-12,-0.001594315,0.003954797,0.002510612,-0.003081156,0.007523760,0.000132911,-0.001497348,0.000407520
2024-02-13,0.008089294,-0.013436341,-0.013127435,-0.002588918,-0.013243920,-0.001152819,-0.005339783,0.000137430
2024-02-14,0.006037074,0.009675784,0.017104571,0.009950136,0.017981088,0.004548801,0.006198032,0.000135440
2024-02-15,0.005345152,0.009931789,0.012081325,0.001133488,0.007185642,0.008200993,0.001269877,0.000135790
2024-02-16,0.006976149,0.006015110,0.000202506,-0.003533919,-0.000173927,0.009454450,-0.002015976,0.000135410
2024-02-20,0.007788673,-0.000830628,-0.000705053,0.001574444,-0.004444330,0.009558678,0.005348861,0.000542000
2024-02-21,0.002904281,-0.000171760,-0.003528945,0.003584856,-0.002814907,-0.006671107,-0.002424368,0.000136380
2024-02-22,0.005232035,0.011262515,0.015280469,0.013489295,0.008173500,0.005261078,0.001314421,0.000136040
2024-02-23,-0.004793260,0.004049848,0.004973636,0.002632017,0.002431049,0.004970413,0.004740813,0.000135830
2024-02-26,-0.001475716,0.003282305,-0.002603452,-0.004211893,0.000975431,0.003329188,-0.001344099,0.000404870
2024-02-27,-0.001096242,-0.001268154,-0.000688701,0.001242595,0.008566933,-0.004207227,-0.003717717,0.000135520
2024-02-28,0.001024282,-0.006666261,-0.002242762,0.006430405,-0.006847630,-0.002002039,0.001662683,0.000135830
2024-02-29,-0.000316715,0.003930048,0.003167198,0.000331698,-0.006410643,0.001393857,0.002592149,0.000135770
2024-03-01,0.001714054,0.001083644,0.006444821,0.002187820,0.000649018,0.005038647,0.003604080,0.000134990
2024-03-04,0.010218067,0.001021582,-0.004109480,0.000428694,-0.001868364,0.006202644,-0.001626353,0.000405280
2024-03-05,-0.005298183,-0.005298694,0.001086707,-0.005475048,-0.009819121,0.000030151,0.005998117,0.000135680
2024-03-06,0.001920733,0.000312549,0.001851368,-0.001261675,0.010817991,0.001224101,0.000954725,0.000135340
2024-03-07,0.001514309,0.007668639,0.009009472,0.003697992,0.007046074,0.006605376,-0.000476907,0.000134680
2024-03-08,0.009699446,-0.000626887,-0.004391533,-0.004590306,0.000617920,0.001449421,0.001375271,0.000135250
2024-03-11,0.001425806,-0.000661005,0.001018080,0.005180573,-0.000875032,-0.005190348,-0.001494838,0.000405970
2024-03-12,0.011509521,0.008558258,0.002922114,0.006213506,0.003696204,0.007525107,-0.002778947,0.000137760
2024-03-13,0.007116514,-0.001251430,0.001766240,-0.001645317,-0.001549512,0.000309962,-0.002045450,0.000135360
2024-03-14,0.002373628,-0.001192694,-0.005062623,0.000605264,-0.004676903,0.003220823,-0.005951486,0.000135050
2024-03-15,-0.004362118,-0.003407932,0.000219768,-0.004580566,0.000374702,-0.004431119,-0.000737749,0.000135130
2024-03-18,0.002088908,-0.002645467,-0.000783551,0.003772688,0.007193826,0.003743838,-0.003114085,0.000408010
2024-03-19,0.004223758,0.006074391,0.002702693,0.008376855,0.004247279,0.002156194,0.004728447,0.000135640
2024-03-20,0.002619999,0.000362263,0.005584589,0.001859836,0.002096971,0.000978653,0.002702754,0.000135120
2024-03-21,0.013259617,0.003487195,-0.000140772,0.000973787,-0.000077217,0.010042130,-0.001564503,0.000135200
